Unlock Price Present,Current Price,System Price,Competitor Avg Price,Available Rooms,Occ. on Books,Occ. on Books LY,Occ. Forecast,Occ. LY,ADR,STLY ADR,Revenue,STLY Revenue,Full Date,Day of Week,Date Only,Property name,Property Code,Saleable rooms,Room Class,Price Difference
False,$94.09,$98.99,$114,,,,48%,,,,,,"Wed, Dec 31",Wed,"Dec 31, 2025",Comfort Inn & Suites,PA672,,"Standard (NHK)
PRICED",-$4.90
False,$94.09,$95.99,$110,,,,10%,,,,,,"Sun, Jan 04",Sun,"Jan 4, 2026",Comfort Inn & Suites,PA672,,"Standard (NHK)
PRICED",-$1.90
