Unlock Price Present,Current Price,System Price,Competitor Avg Price,Available Rooms,Occ. on Books,Occ. on Books LY,Occ. Forecast,Occ. LY,ADR,STLY ADR,Revenue,STLY Revenue,Full Date,Day of Week,Date Only,Property name,Property Code,Saleable rooms,Room Class,Price Difference
False,$92.09,$92.99,$116,,,,28%,,,,,,"Sun, Jan 18",Sun,"Jan 18, 2026",Comfort Inn & Suites,PA672,,"Standard (NHK)
PRICED",-$0.90
False,$92.09,$92.99,$116,,,,28%,,,,,,"Sun, Jan 18",Sun,"Jan 18, 2026",Quality Inn Mobile West Tillmans Corner,NA2,,"Standard (NHK)
PRICED",-$0.90
